,RFM_customer_segment,Customers,Customer_Percent,Total_Revenue,Avg_Revenue,Avg_Frequency,Avg_Recency
4,Potential Loyal Customers,61172,55.42,44576114.0,728.7012685542405,1.0,39.02803570260904
0,At Risk Customers,19764,17.9,10414933.0,526.9648350536329,1.0,61.184780408824125
1,Best/Loyal Customers,7359,6.67,7729018.0,1050.2810164424513,1.0,14.279521674140508
2,Can't Lose Customers,14568,13.2,6281511.0,431.18554365733115,1.0,71.06981054365733
3,Lost Customers,7525,6.82,2655177.0,352.8474418604651,1.0,80.6923588039867
